team_abbrev,team_name,seed,wins,exit_round,year
florida,Florida,1,6,Champion,2025
houston,Houston,1,5,Runner-up,2025
duke,Duke,1,4,F4,2025
auburn,Auburn,1,4,F4,2025
michigan-state,Michigan State,2,3,E8,2025
tennessee,Tennessee,2,3,E8,2025
texas-tech,Texas Tech,3,3,E8,2025
alabama,Alabama,2,3,E8,2025
maryland,Maryland,4,2,S16,2025
kentucky,Kentucky,3,2,S16,2025
michigan,Michigan,5,2,S16,2025
arkansas,Arkansas,10,2,S16,2025
brigham-young,BYU,6,2,S16,2025
mississippi,Ole Miss,6,2,S16,2025
arizona,Arizona,4,2,S16,2025
purdue,Purdue,4,2,S16,2025
texas-am,Texas A&M,4,1,R32,2025
new-mexico,New Mexico,10,1,R32,2025
illinois,Illinois,6,1,R32,2025
creighton,Creighton,9,1,R32,2025
connecticut,UConn,8,1,R32,2025
ucla,UCLA,7,1,R32,2025
colorado-state,Colorado State,12,1,R32,2025
oregon,Oregon,5,1,R32,2025
iowa-state,Iowa State,3,1,R32,2025
baylor,Baylor,9,1,R32,2025
st-johns-ny,St. John's (NY),2,1,R32,2025
wisconsin,Wisconsin,3,1,R32,2025
gonzaga,Gonzaga,8,1,R32,2025
drake,Drake,11,1,R32,2025
saint-marys-ca,Saint Mary's,7,1,R32,2025
mcneese-state,McNeese State,12,1,R32,2025
marquette,Marquette,7,0,R64,2025
kansas,Kansas,7,0,R64,2025
north-carolina-wilmington,UNC Wilmington,14,0,R64,2025
lipscomb,Lipscomb,14,0,R64,2025
bryant,Bryant,15,0,R64,2025
norfolk-state,Norfolk State,16,0,R64,2025
oklahoma,Oklahoma,9,0,R64,2025
missouri,Missouri,6,0,R64,2025
memphis,Memphis,5,0,R64,2025
grand-canyon,Grand Canyon,13,0,R64,2025
mississippi-state,Mississippi State,8,0,R64,2025
louisville,Louisville,8,0,R64,2025
north-carolina,UNC,11,0,R64,2025
yale,Yale,13,0,R64,2025
akron,Akron,13,0,R64,2025
virginia-commonwealth,VCU,11,0,R64,2025
montana,Montana,14,0,R64,2025
vanderbilt,Vanderbilt,10,0,R64,2025
robert-morris,Robert Morris,15,0,R64,2025
southern-illinois-edwardsville,SIU-Edwardsville,16,0,R64,2025
georgia,Georgia,9,0,R64,2025
clemson,Clemson,5,0,R64,2025
high-point,High Point,13,0,R64,2025
xavier,Xavier,11,0,R64,2025
troy,Troy,14,0,R64,2025
utah-state,Utah State,10,0,R64,2025
wofford,Wofford,15,0,R64,2025
mount-st-marys,Mount St. Mary's,16,0,R64,2025
alabama-state,Alabama State,16,0,R64,2025
liberty,Liberty,12,0,R64,2025
california-san-diego,UC-San Diego,12,0,R64,2025
nebraska-omaha,Omaha,15,0,R64,2025